Date,Open,High,Low,Close,Adj Close,Volume
2004-07-19,80.783936,82.074570,80.688339,81.548759,50.849651,6899416
2004-07-20,81.864243,82.686424,81.548759,82.562141,51.481548,5911260
2004-07-21,82.934990,83.279160,81.548759,81.548759,50.849651,5788564
2004-07-22,81.261948,82.600380,80.956024,82.275337,51.302719,6247340
2004-07-23,81.931168,82.275337,80.783936,81.118546,50.581398,4507632
2004-07-26,81.118546,81.816444,80.793503,81.347992,50.724457,4725305
2004-07-27,81.835564,82.504784,81.692162,82.103249,51.195415,4287031
2004-07-28,82.103249,82.485657,81.147224,82.074570,51.177502,6868245
2004-07-29,82.456978,83.384323,82.437859,82.954109,51.725948,4426986
2004-07-30,82.648186,83.556404,82.590820,83.240921,51.904781,3669891
2004-08-02,83.049713,83.546844,82.619499,82.877632,51.678257,3565186
2004-08-03,82.887192,82.982796,81.682602,81.940727,51.094063,4337971
2004-08-04,81.548759,82.839386,81.500954,82.189293,51.249058,4351988
2004-08-05,82.189293,82.619499,81.271507,81.443596,50.784096,4058375
2004-08-06,80.669212,81.032501,79.751434,79.808792,49.870060,5459283
2004-08-09,79.808792,80.267685,79.225624,79.875717,49.911907,3787671
2004-08-10,80.305923,81.252388,80.124283,81.252388,50.772125,4551146
2004-08-11,80.019119,80.286804,79.445503,80.009560,49.995537,5531248
2004-08-12,79.397705,79.397705,78.298279,78.594643,49.111378,7463105
2004-08-13,78.910133,80.248566,78.881454,80.219887,50.126957,6068787
2004-08-16,80.019119,80.841301,79.837479,80.325050,50.192669,4562129
2004-08-17,80.401527,80.822182,79.980881,80.344170,50.204609,3723132
2004-08-18,79.923515,81.386230,79.894836,81.386230,50.855774,4599785
2004-08-19,81.022942,81.596558,80.736137,81.156792,50.712387,4920907
2004-08-20,80.803062,81.500954,80.803062,81.500954,50.927448,4708464
2004-08-23,81.481834,81.692162,80.927345,80.927345,50.569031,4456588
2004-08-24,81.261948,81.405357,80.640533,80.984703,50.604858,2835078
2004-08-25,81.261948,81.520073,80.831741,81.328873,50.819920,4608258
2004-08-26,81.261948,81.300194,80.965584,80.965584,50.592922,3278582
2004-08-27,80.927345,81.214149,80.869980,81.204590,50.742271,2557261
2004-08-30,80.850861,81.252388,80.678780,80.688339,50.419682,2382683
2004-08-31,80.831741,80.965584,79.971321,80.965584,50.592922,3555877
2004-09-01,80.353729,81.347992,80.315491,80.516251,50.312138,4966931
2004-09-02,80.516251,81.051628,80.162521,80.850861,50.521225,3535898
2004-09-03,80.592735,80.965584,80.267685,80.678780,50.413692,3639871
2004-09-07,80.975143,81.682602,80.879539,81.233269,50.760178,4186929
2004-09-08,81.166351,82.705544,81.147224,82.084129,51.291855,5984375
2004-09-09,82.084129,82.973228,82.084129,82.638626,51.638348,4725200
2004-09-10,82.629066,83.173996,82.456978,82.944550,51.829521,3926161
2004-09-13,83.173996,83.441681,82.294456,82.686424,51.668224,5022264
